fuel_rate,moisture,co_efficiency,hot_blast_temp,slag_rate,flame_temp,top_pressure
584.0,8.6,45.73521968,1162.33,521,2215.4,2.33
579.5,8.6,44.4,1092.33,505,2149.9,2.35
563.7,8.6,46.37,1139.17,482,2104.8,2.36
559.2,8.7,45.24,1135.46,507,2116.8,2.23
557.4,8.7,48.0,1109.42,502,2148.9,2.32
559.4,8.7,45.95,1142.08,497,2156.8,2.37
575.9,8.7,46.95,1176.0,500,2273.7,2.37
577.4,8.9,47.98,1160.92,518,2145.3,2.3
574.7,9.0,46.43,1175.0,528,2186.7,2.27
568.6,9.0,44.26,1181.0,518,2249.6,2.3
566.1,9.0,46.3,1175.0,498,2205.5,2.31
549.4,9.0,45.66,1120.75,489,2165.3,2.32
555.9,9.0,46.63,1110.67,504,2129.7,2.32
554.6,9.0,45.02,1108.17,492,2126.7,2.4
578.6,9.1,44.28,1150.08,509,2200.7,2.35
566.6,9.1,43.72,1178.0,509,2176.5,2.36
574.4,9.1,44.67,1176.0,483,2181.6,2.37
553.2,9.1,46.5,1124.21,482,2224.1,2.41
575.6,9.2,45.24,1152.67,523,2235.8,2.35
588.4,9.4,44.9,1177.0,502,2239.8,2.39
542.6,9.5,45.77,1110.13,491,2187.7,2.41
566.8,9.7,46.34,1183.46,511,2196.7,2.27
590.2,9.7,46.36,1118.0,513,2132.2,2.31
570.6,9.7,44.92,1150.58,502,2056.9,2.38
544.2,9.7,45.52,1099.33,473,2078.9,2.43
554.7,9.8,46.71,1112.13,501,2151.2,2.38
545.3,9.9,46.06,1099.58,495,2154.2,2.31
545.0,9.9,46.35,1114.0,488,2084.9,2.35
559.3,10.0,44.29,1179.0,515,2190.7,2.25
541.5,10.0,44.83,1119.17,496,2120.1,2.36
589.3,10.0,46.24,1164.67,528,2144.2,2.38
565.6,10.0,46.6,1142.71,511,2221.7,2.4
595.0,10.0,44.21,1179.0,526,2208.4,2.4
595.8,10.0,47.74,1162.71,519,2078.5,2.44
553.2,10.1,46.49,1110.08,495,2133.6,2.28
556.6,10.1,45.45,1142.04,493,2160.6,2.32
541.5,10.4,45.59,1110.13,488,2083.3,2.45
576.2,10.5,46.17,1151.13,507,2180.4,2.36
594.1,10.6,46.35,1184.08,515,2093.0,2.39
