fuel rate,moisture,co efficiency,hot blast temp,slag rate,flame temp,top pressure
570.9,5.1,45.11,1155.29,504,2287.2,2.38
591.5,5.1,46.39,1182.75,531,2173.5,2.38
592.4,5.2,45.45,1180.54,510,2269.1,2.29
569.8,5.2,46.44,1101,492,2083.9,2.3
579.6,5.2,46.08,1182.42,498,2277.7,2.32
583.9,5.2,46.95,1152.79,521,2162.1,2.37
605.9,5.4,46.01,1183.08,524,2143.1,2.37
604.1,5.4,45.67,1159.04,545,2189.1,2.46
585.9,5.4,47.32,1167.96,505,2161.3,2.49
573.4,5.5,46.65,1181.71,507,2208.6,2.26
598,5.5,46.9,1155.29,528,2206.7,2.38
605.2,5.6,45.99,1179.67,516,2122.3,2.33
592.4,5.6,45.95,1183.71,534,2100.8,2.39
569.3,5.7,43.58,1161.21,517,2271.4,2.43
581.2,5.7,46.37,1164.54,540,2076.4,2.46
575.8,5.8,48.71,1176.88,520,2203.9,2.31
588,5.8,48.82,1096,474,2108.8,2.32
568.8,5.9,48.32477414,1104.54,484,2152,2.41
576.8,5.9,45.92,1178,529,2281.3,2.41
551.5,6,46.1,1100.54,494,2183.6,2.26
555.2,6,47.85,1110.79,504,2238.6,2.27
565.8,6,46.09,1178.29,496,2185.4,2.31
560.9,6,47.25,1176.08,506,2299.4,2.37
553,6,44.66477484,1148.5,503,2195.8,2.38
584.3,6,42.36,1157.92,540,2169.6,2.38
587.5,6,44.77,1162.08,519,2224.6,2.38
563.7,6,42.61,1156.54,508,2323.5,2.39
565.9,6,47.13,1177.38,522,2119.4,2.41
574.6,6,47.69,1110.83,502,2194.8,2.42
581.4,6,48.21688208,1162.38,509,2298.9,2.42
551.2,6,46.72,1111.92,452,2231.7,2.46
560,6.1,45.11,1120.38,518,2257,2.15
555.9,6.1,45.8,1176,503,2219.9,2.27
571.7,6.1,45.09,1150.54,505,2296.5,2.36
567.8,6.1,47.28,1183,511,2125.8,2.4
557,6.1,46.58,1100.04,496,2096.2,2.41
581.1,6.1,47.11,1162.29,529,2262.4,2.41
573.8,6.1,48.07580636,1119.17,508,2229.2,2.44
584,6.2,45.87,1159,499,2140.7,2.41
578.6,6.3,45.02,1176,506,2216.8,2.32
601.8,6.3,46.21161609,1162.67,510,2275.3,2.32
571.2,6.3,46.76189379,1080.83,510,2186.6,2.45
575.9,6.4,45.59890467,1162.42,518,2228.8,2.19
594.2,6.4,45.26,1181.21,548,2052.3,2.26
561.9,6.4,46.01,1097,455,2130.5,2.33
571.7,6.4,45.79450341,1162.92,518,2258.9,2.41
573.1,6.4,46.43,1184.75,511,2119.8,2.42
579.9,6.4,44.99,1181.88,492,2170.4,2.44
563.9,6.5,45.35,1087,468,2179,2.26
559.2,6.5,44.64,1139.92,495,2131.8,2.31
575.8,6.5,47.49,1182.04,510,2133.9,2.37
568.6,6.6,46.87,1153.96,531,2206.8,2.17
599.2,6.6,43.83,1138.38,505,2254.1,2.36
561.1,6.6,45.19,1185.25,505,2166.8,2.4
599.6,6.6,47.76,1151.58,512,2173.8,2.43
573,6.7,47.03,1133.08,524,2217.2,2.41
568.6,6.8,44.97,1180,538,2188.8,2.26
561,6.8,44.59,1142.33,503,2161.8,2.31
586.6,6.9,43.28,1181.21,546,2219.4,2.27
572.5,6.9,47.11,1076,475,2121.2,2.36
606.8,6.9,45.9,1181.38,515,2329.5,2.38
589.2,7,46.2,1181.58,515,2263.1,2.14
596,7,45.16,1156.5,529,2156.3,2.28
585,7,47.6,1181.29,536,2179.4,2.32
576.9,7,48.19437556,1162.33,510,2254.8,2.35
566.1,7,47.00779869,1085.21,503,2132.3,2.36
573,7,47.24,1162.58,521,2173.2,2.37
577.1,7,46.89,1167.21,504,2172.5,2.39
577.8,7,46.57330036,1135.5,485,2147.4,2.39
558,7,47.42,1160.5,536,2146.9,2.4
570.4,7,46.32375465,1158.88,493,2183.9,2.41
574,7.1,47.48,1183.33,487,2196.4,2.4
596,7.2,46.65,1163.75,496,2308.5,2.31
596,7.2,44.09,1109.71,504,2219.3,2.36
594.5,7.2,46.79,1162,557,2200.6,2.38
568.3,7.2,46.1,1146.21,496,2163.8,2.46
584.9,7.3,45.29,1112.46,506,2254.8,2.37
559.8,7.4,44.81,1131.08,504,2167.7,2.42
558.8,7.5,44.04,1162.08,510,2167.9,2.33
575.7,7.5,45.15,1150.42,514,2255.7,2.36
584.6,7.5,47.05,1153.46,514,2065.2,2.43
555.3,7.5,49.07946012,1111.33,504,2037.8,2.45
586.4,7.6,46.56,1083,472,2099.1,2.25
560.5,7.6,47.19,1177.38,516,2222.3,2.31
583.8,7.6,45.34,1142.46,484,2158.9,2.32
577.3,7.6,45.71,1078,464,2128.8,2.33
554.8,7.6,48.36341427,1141.54,495,2199.1,2.36
554.1,7.6,44.52,1099.67,496,2148.7,2.4
567.6,7.6,45.87977508,1159.63,493,2139.5,2.42
565.7,7.7,47.1,1131,465,2142.7,2.31
564.4,7.7,44.28,1151.71,505,2177.2,2.33
575.4,7.7,47.98,1171.04,535,2155.4,2.35
562.1,7.8,45.51,1141.79,505,2112,2.31
579.3,7.8,46.3,1151.67,504,2083.6,2.39
561.9,7.8,45.47,1139.92,497,2176.8,2.43
552.3,7.9,46.03,1140.96,491,2120.8,2.23
584.4,7.9,46.22,1161.42,514,2235.5,2.26
572.2,7.9,43.46,1144.25,506,2192.4,2.28
602.1,7.9,46.76,1176.88,504,2098.6,2.28
549.9,7.9,46.80477851,1157.33,494,2230.5,2.31
558.5,7.9,44.98,1145.52,522,2135,2.33
555.8,7.9,46.71949945,1155.71,495,2154,2.38
551.3,7.9,46.58,1111.54,492,2075.2,2.41
592.5,7.9,45.29,1178,505,2226.1,2.45
576.1,8,46.65511495,1162.58,515,2168.5,2.29
552.8,8,46.1,1120.38,479,2197.7,2.32
564.2,8,43.31,1152.67,512,2259,2.32
579.9,8,45.76,1178,481,2226.5,2.32
551.9,8,45.00265545,1145.54,497,2174.4,2.33
564.4,8,45.92,1153,509,2141.3,2.33
579.6,8,44.34,1151.46,502,2195.7,2.33
596.3,8,46.71422802,1160,522,2204.8,2.34
556.4,8,47.24,1073.21,496,2074.8,2.35
585.1,8,44.9,1162.13,527,2213.9,2.35
542.7,8,45.85,1110.96,470,2206.6,2.37
581.5,8,43.52,1175,527,2308.4,2.37
561.5,8,44.8,1114.9,493,2165.3,2.4
553.7,8,46.16,1150.04,502,2222.6,2.41
551.1,8,45.12,1107.17,494,2168.7,2.44
555.4,8,46.76,1110.79,505,2120.4,2.45
560,8,43.36,1180,529,2258.5,2.46
560.6,8,46.38459054,1160.67,495,2200.4,2.46
567.5,8.1,45.35,1134.92,499,2159.7,2.29
566.9,8.1,44.72,1178.05,530,2212.4,2.36
563.4,8.1,45.21,1121.54,504,2169.8,2.37
543.4,8.1,46.92,1092.13,473,2121,2.4
563.3,8.1,46.13398658,1162.96,528,2239.4,2.43
568.2,8.2,46.25,1138,448,2144.1,2.17
566.4,8.2,45.12,1151.29,511,2135.5,2.35
562.4,8.2,47.83,1183.54,517,2155.2,2.36
568.5,8.3,45.79,1161.83,528,2144.6,2.29
557.6,8.3,47.98,1111.67,503,2156,2.36
564.3,8.3,47.39,1162.75,523,2073.2,2.36
569.2,8.3,46.1,1127.71,510,2176.2,2.37
557.1,8.3,45.09,1150.83,505,2310.8,2.38
575.5,8.3,46.75,1162.42,519,2118.4,2.38
556.9,8.4,47.81,1109.46,498,2005.1,2.31
544.8,8.4,45.2,1178,493,2220.2,2.38
570.5,8.5,46.18,1098,450,2163.1,2.31
557.4,8.5,46.73,1141.25,488,2215.6,2.34
582.6,8.5,47.69,1162.38,515,2163.3,2.49
583.2,8.6,46.38,1114,508,2081.3,2.24
584,8.6,45.73521968,1162.33,521,2215.4,2.33
579.5,8.6,44.4,1092.33,505,2149.9,2.35
563.7,8.6,46.37,1139.17,482,2104.8,2.36
564.6,8.7,45.52,1150.42,525,2185,2.15
559.2,8.7,45.24,1135.46,507,2116.8,2.23
557.4,8.7,48,1109.42,502,2148.9,2.32
559.4,8.7,45.95,1142.08,497,2156.8,2.37
575.9,8.7,46.95,1176,500,2273.7,2.37
558.3,8.9,45.88107432,1140.71,495,2142.4,2.14
577.4,8.9,47.98,1160.92,518,2145.3,2.3
574.7,9,46.43,1175,528,2186.7,2.27
568.6,9,44.26,1181,518,2249.6,2.3
566.1,9,46.3,1175,498,2205.5,2.31
549.4,9,45.66,1120.75,489,2165.3,2.32
555.9,9,46.63,1110.67,504,2129.7,2.32
554.6,9,45.02,1108.17,492,2126.7,2.4
542.3,9.1,45.8,1116.38,491,2020.7,2.24
578.6,9.1,44.28,1150.08,509,2200.7,2.35
566.6,9.1,43.72,1178,509,2176.5,2.36
574.4,9.1,44.67,1176,483,2181.6,2.37
566,9.1,48.75930533,1112.83,504,1998,2.4
553.2,9.1,46.5,1124.21,482,2224.1,2.41
575.6,9.2,45.24,1152.67,523,2235.8,2.35
548.3,9.4,46.13,1109.96,460,2188.8,2.37
588.4,9.4,44.9,1177,502,2239.8,2.39
542.6,9.5,45.77,1110.13,491,2187.7,2.41
566.8,9.7,46.34,1183.46,511,2196.7,2.27
590.2,9.7,46.36,1118,513,2132.2,2.31
580.6,9.7,43.1,1177,525,2258.5,2.35
570.6,9.7,44.92,1150.58,502,2056.9,2.38
544.2,9.7,45.52,1099.33,473,2078.9,2.43
560.2,9.8,44.98,1160.42,506,2249.8,2.21
554.7,9.8,46.71,1112.13,501,2151.2,2.38
569.4,9.9,47.95,1137,466,2175.3,2.23
564.4,9.9,46.08,1160,553,2240.6,2.29
545.3,9.9,46.06,1099.58,495,2154.2,2.31
545,9.9,46.35,1114,488,2084.9,2.35
559.3,10,44.29,1179,515,2190.7,2.25
568.6,10,47.1,1136,461,2168.9,2.27
580.9,10,41.06,1178,559,2210.7,2.32
541.5,10,44.83,1119.17,496,2120.1,2.36
589.3,10,46.24,1164.67,528,2144.2,2.38
565.6,10,46.6,1142.71,511,2221.7,2.4
595,10,44.21,1179,526,2208.4,2.4
595.8,10,47.74,1162.71,519,2078.5,2.44
553.2,10.1,46.49,1110.08,495,2133.6,2.28
556.6,10.1,45.45,1142.04,493,2160.6,2.32
556.3,10.1,45.89,1177,547,2170.5,2.34
541.5,10.4,45.59,1110.13,488,2083.3,2.45
576.2,10.5,46.17,1151.13,507,2180.4,2.36
594.1,10.6,46.35,1184.08,515,2093,2.39
572.4,10.7,46.95,1137,502,2149.8,2.16
